test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
C1,100,1,21,SimpleAugmentingMatcher,-1,na,wall_clock_ms,0.011543
C1,100,1,21,SimpleAugmentingMatcher,-1,na,matching_size,60
C1,100,1,21,HopcroftKarpMatcher,0,na,paths_found_per_phase,55
C1,100,1,21,HopcroftKarpMatcher,0,na,bfs_edges_visited,100
C1,100,1,21,HopcroftKarpMatcher,0,na,dfs_edges_visited,75
C1,100,1,21,HopcroftKarpMatcher,0,na,defect_at_iteration,45
C1,100,1,21,HopcroftKarpMatcher,1,na,paths_found_per_phase,4
C1,100,1,21,HopcroftKarpMatcher,1,na,bfs_edges_visited,33
C1,100,1,21,HopcroftKarpMatcher,1,na,dfs_edges_visited,35
C1,100,1,21,HopcroftKarpMatcher,1,na,defect_at_iteration,41
C1,100,1,21,HopcroftKarpMatcher,2,na,paths_found_per_phase,1
C1,100,1,21,HopcroftKarpMatcher,2,na,bfs_edges_visited,26
C1,100,1,21,HopcroftKarpMatcher,2,na,dfs_edges_visited,25
C1,100,1,21,HopcroftKarpMatcher,2,na,defect_at_iteration,40
C1,100,1,21,HopcroftKarpMatcher,-1,na,phase_count,3
C1,100,1,21,HopcroftKarpMatcher,-1,na,main_loop_iters,3
C1,100,1,21,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,159
C1,100,1,21,HopcroftKarpMatcher,-1,na,total_edges_visited,294
C1,100,1,21,HopcroftKarpMatcher,-1,na,matching_size,60
C1,100,1,21,HopcroftKarpMatcher,-1,na,wall_clock_ms,0.058441
C1,100,1,21,HopcroftKarpMatcher,-1,na,matching_size,60
