test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
C1,5000,1,8,SimpleAugmentingMatcher,-1,na,wall_clock_ms,23.255
C1,5000,1,8,SimpleAugmentingMatcher,-1,na,matching_size,2746
C1,5000,1,8,HopcroftKarpMatcher,0,na,paths_found_per_phase,2588
C1,5000,1,8,HopcroftKarpMatcher,0,na,bfs_edges_visited,5000
C1,5000,1,8,HopcroftKarpMatcher,0,na,dfs_edges_visited,3647
C1,5000,1,8,HopcroftKarpMatcher,0,na,defect_at_iteration,2412
C1,5000,1,8,HopcroftKarpMatcher,1,na,paths_found_per_phase,149
C1,5000,1,8,HopcroftKarpMatcher,1,na,bfs_edges_visited,1695
C1,5000,1,8,HopcroftKarpMatcher,1,na,dfs_edges_visited,1755
C1,5000,1,8,HopcroftKarpMatcher,1,na,defect_at_iteration,2263
C1,5000,1,8,HopcroftKarpMatcher,2,na,paths_found_per_phase,9
C1,5000,1,8,HopcroftKarpMatcher,2,na,bfs_edges_visited,1269
C1,5000,1,8,HopcroftKarpMatcher,2,na,dfs_edges_visited,1263
C1,5000,1,8,HopcroftKarpMatcher,2,na,defect_at_iteration,2254
C1,5000,1,8,HopcroftKarpMatcher,-1,na,phase_count,3
C1,5000,1,8,HopcroftKarpMatcher,-1,na,main_loop_iters,3
C1,5000,1,8,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,7964
C1,5000,1,8,HopcroftKarpMatcher,-1,na,total_edges_visited,14629
C1,5000,1,8,HopcroftKarpMatcher,-1,na,matching_size,2746
C1,5000,1,8,HopcroftKarpMatcher,-1,na,wall_clock_ms,111.038
C1,5000,1,8,HopcroftKarpMatcher,-1,na,matching_size,2746
