test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
U3,100,1.25,8,SimpleAugmentingMatcher,-1,na,wall_clock_ms,0.100838
U3,100,1.25,8,SimpleAugmentingMatcher,-1,na,matching_size,92
U3,100,1.25,8,HopcroftKarpMatcher,0,na,paths_found_per_phase,77
U3,100,1.25,8,HopcroftKarpMatcher,0,na,bfs_edges_visited,316
U3,100,1.25,8,HopcroftKarpMatcher,0,na,dfs_edges_visited,169
U3,100,1.25,8,HopcroftKarpMatcher,0,na,defect_at_iteration,23
U3,100,1.25,8,HopcroftKarpMatcher,1,na,paths_found_per_phase,11
U3,100,1.25,8,HopcroftKarpMatcher,1,na,bfs_edges_visited,150
U3,100,1.25,8,HopcroftKarpMatcher,1,na,dfs_edges_visited,155
U3,100,1.25,8,HopcroftKarpMatcher,1,na,defect_at_iteration,12
U3,100,1.25,8,HopcroftKarpMatcher,2,na,paths_found_per_phase,2
U3,100,1.25,8,HopcroftKarpMatcher,2,na,bfs_edges_visited,109
U3,100,1.25,8,HopcroftKarpMatcher,2,na,dfs_edges_visited,117
U3,100,1.25,8,HopcroftKarpMatcher,2,na,defect_at_iteration,10
U3,100,1.25,8,HopcroftKarpMatcher,3,na,paths_found_per_phase,2
U3,100,1.25,8,HopcroftKarpMatcher,3,na,bfs_edges_visited,220
U3,100,1.25,8,HopcroftKarpMatcher,3,na,dfs_edges_visited,158
U3,100,1.25,8,HopcroftKarpMatcher,3,na,defect_at_iteration,8
U3,100,1.25,8,HopcroftKarpMatcher,-1,na,phase_count,4
U3,100,1.25,8,HopcroftKarpMatcher,-1,na,main_loop_iters,4
U3,100,1.25,8,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,795
U3,100,1.25,8,HopcroftKarpMatcher,-1,na,total_edges_visited,1394
U3,100,1.25,8,HopcroftKarpMatcher,-1,na,matching_size,92
U3,100,1.25,8,HopcroftKarpMatcher,-1,na,wall_clock_ms,0.090322
U3,100,1.25,8,HopcroftKarpMatcher,-1,na,matching_size,92
