alpha,Algorithm,k_theory,k_emp,R2
1.0,HopcroftKarpMatcher,1.5,2.04,0.9984
1.0,SimpleAugmentingMatcher,2.0,1.93,0.9993
1.25,HopcroftKarpMatcher,1.75,1.88,0.9994
1.25,SimpleAugmentingMatcher,2.25,2.77,0.9986
1.5,HopcroftKarpMatcher,2.0,1.79,0.9988
1.5,SimpleAugmentingMatcher,2.5,2.95,0.9998
1.75,HopcroftKarpMatcher,2.25,1.8,0.9995
1.75,SimpleAugmentingMatcher,2.75,2.93,0.9998
2.0,HopcroftKarpMatcher,2.5,1.94,0.9996
2.0,SimpleAugmentingMatcher,3.0,2.96,1.0
