alpha,Algorithm,k_theory,k_emp,R2
1.0,HungarianMatcher+JohnsonDijkstraStrategy,1.0,1.0,0.9997
1.5,HungarianMatcher+JohnsonDijkstraStrategy,1.5,1.5,1.0
2.0,HungarianMatcher+JohnsonDijkstraStrategy,2.0,2.0,1.0
