Family,ExpType,Algorithm,n,m,Max_Flow,F,F_bar,r,s_bar,t_bar,Time_ms
DoubleExpLine,Density,EK,5002,10040,23028141,1204,25110040.00,0.0000,0.4500,0.9326,422.708
DoubleExpLine,Density,FF,5002,10040,23028141,2462,23028141.00,0.0001,0.2000,0.4188,880.321
DoubleExpLine,Density,RDFS,5002,10040,23028141,1490,23028141.00,0.0001,0.0213,0.0392,381.422
DoubleExpLine,Density,FP,5002,10040,23028141,1179,245547.22,0.0048,0.1937,0.5408,411.160
DoubleExpLine,Density,EC,5002,10040,23028141,1183,245547.22,0.0048,0.4447,0.9228,414.880
DoubleExpLine,Density,Di,5002,10040,23028141,14,5002.00,0.0028,0.0068,2.8606,16.015
DoubleExpLine,Density,EK,5002,10080,52796313,1207,25210080.00,0.0000,0.4553,0.9311,414.475
DoubleExpLine,Density,FF,5002,10080,52796313,3238,52796313.00,0.0001,0.2302,0.4688,1282.227
DoubleExpLine,Density,RDFS,5002,10080,52796313,1581,52796313.00,0.0000,0.0157,0.0285,350.734
DoubleExpLine,Density,FP,5002,10080,52796313,1103,258591.65,0.0043,0.2027,0.5410,413.579
DoubleExpLine,Density,EC,5002,10080,52796313,1129,258591.65,0.0044,0.4436,0.9080,390.348
DoubleExpLine,Density,Di,5002,10080,52796313,23,5002.00,0.0046,0.0104,2.7947,24.785
DoubleExpLine,Density,EK,5002,10019,100463419,1191,25057519.00,0.0000,0.4481,0.9200,396.605
DoubleExpLine,Density,FF,5002,10019,100463419,2775,100463419.00,0.0000,0.2128,0.4334,1000.749
DoubleExpLine,Density,RDFS,5002,10019,100463419,1566,100463419.00,0.0000,0.0096,0.0172,311.457
DoubleExpLine,Density,FP,5002,10019,100463419,1092,266326.01,0.0041,0.2039,0.5474,459.241
DoubleExpLine,Density,EC,5002,10019,100463419,1110,266326.01,0.0042,0.4318,0.8881,370.905
DoubleExpLine,Density,Di,5002,10019,100463419,14,5002.00,0.0028,0.0065,2.8104,15.262
DoubleExpLine,Density,EK,5002,9974,184772843,1259,24944974.00,0.0001,0.4609,0.9349,430.297
DoubleExpLine,Density,FF,5002,9974,184772843,3510,184772843.00,0.0000,0.2228,0.4462,1272.742
DoubleExpLine,Density,RDFS,5002,9974,184772843,1853,184772843.00,0.0000,0.0080,0.0143,360.719
DoubleExpLine,Density,FP,5002,9974,184772843,1117,273897.78,0.0041,0.2540,0.6158,693.591
DoubleExpLine,Density,EC,5002,9974,184772843,1145,273897.78,0.0042,0.4335,0.8823,381.630
DoubleExpLine,Density,Di,5002,9974,184772843,11,5002.00,0.0022,0.0051,2.8406,11.989
DoubleExpLine,Density,EK,5002,10131,298734032,1288,25337631.00,0.0001,0.4722,0.9515,445.689
DoubleExpLine,Density,FF,5002,10131,298734032,2458,298734032.00,0.0000,0.2261,0.4491,920.659
DoubleExpLine,Density,RDFS,5002,10131,298734032,1789,298734032.00,0.0000,0.0073,0.0130,343.952
DoubleExpLine,Density,FP,5002,10131,298734032,1133,285231.08,0.0040,0.3373,0.7417,1032.156
DoubleExpLine,Density,EC,5002,10131,298734032,1172,285231.08,0.0041,0.4391,0.8880,386.976
DoubleExpLine,Density,Di,5002,10131,298734032,7,5002.00,0.0014,0.0034,2.8601,7.700
DoubleExpLine,Scaling,EK,1002,1990,18709209,211,996990.00,0.0002,0.4485,0.9234,12.048
DoubleExpLine,Scaling,FF,1002,1990,18709209,426,18709209.00,0.0000,0.2491,0.4996,34.111
DoubleExpLine,Scaling,RDFS,1002,1990,18709209,281,18709209.00,0.0000,0.0293,0.0522,15.937
DoubleExpLine,Scaling,FP,1002,1990,18709209,201,48072.92,0.0042,0.2049,0.5477,15.290
DoubleExpLine,Scaling,EC,1002,1990,18709209,204,48072.92,0.0042,0.4326,0.8939,11.944
DoubleExpLine,Scaling,Di,1002,1990,18709209,8,1002.00,0.0080,0.0214,2.8333,1.699
DoubleExpLine,Scaling,EK,2002,4038,41334988,493,4042038.00,0.0001,0.4512,0.9263,60.473
DoubleExpLine,Scaling,FF,2002,4038,41334988,1059,41334988.00,0.0000,0.2128,0.4284,150.390
DoubleExpLine,Scaling,RDFS,2002,4038,41334988,652,41334988.00,0.0000,0.0192,0.0338,62.536
DoubleExpLine,Scaling,FP,2002,4038,41334988,453,102164.87,0.0044,0.2237,0.5788,82.569
DoubleExpLine,Scaling,EC,2002,4038,41334988,455,102164.87,0.0045,0.4342,0.8932,56.911
DoubleExpLine,Scaling,Di,2002,4038,41334988,11,2002.00,0.0055,0.0130,2.8449,4.862
DoubleExpLine,Scaling,EK,5002,10019,100463419,1191,25057519.00,0.0000,0.4481,0.9200,400.843
DoubleExpLine,Scaling,FF,5002,10019,100463419,2775,100463419.00,0.0000,0.2128,0.4334,984.242
DoubleExpLine,Scaling,RDFS,5002,10019,100463419,1537,100463419.00,0.0000,0.0100,0.0180,312.067
DoubleExpLine,Scaling,FP,5002,10019,100463419,1092,266326.01,0.0041,0.2039,0.5474,457.681
DoubleExpLine,Scaling,EC,5002,10019,100463419,1110,266326.01,0.0042,0.4318,0.8881,370.552
DoubleExpLine,Scaling,Di,5002,10019,100463419,14,5002.00,0.0028,0.0065,2.8104,15.310
DoubleExpLine,Scaling,EK,10002,19957,198789778,2390,99804957.00,0.0000,0.4544,0.9321,1725.586
DoubleExpLine,Scaling,FF,10002,19957,198789778,4914,198789778.00,0.0000,0.2157,0.4412,3635.516
DoubleExpLine,Scaling,RDFS,10002,19957,198789778,3315,198789778.00,0.0000,0.0061,0.0112,1268.695
DoubleExpLine,Scaling,FP,10002,19957,198789778,2153,550148.00,0.0039,0.2065,0.5496,1936.160
DoubleExpLine,Scaling,EC,10002,19957,198789778,2197,550148.00,0.0040,0.4361,0.8966,1588.354
DoubleExpLine,Scaling,Di,10002,19957,198789778,17,10002.00,0.0017,0.0039,2.8030,37.547
DoubleExpLine,Scaling,EK,20002,40158,392986397,4711,401620158.00,0.0000,0.4543,0.9294,7287.601
DoubleExpLine,Scaling,FF,20002,40158,392986397,13337,392986397.00,0.0000,0.2289,0.4649,21329.501
DoubleExpLine,Scaling,RDFS,20002,40158,392986397,6666,392986397.00,0.0000,0.0042,0.0079,4895.346
DoubleExpLine,Scaling,FP,20002,40158,392986397,4294,1146507.05,0.0037,0.2179,0.5676,8575.035
DoubleExpLine,Scaling,EC,20002,40158,392986397,4384,1146507.05,0.0038,0.4366,0.8948,6645.416
DoubleExpLine,Scaling,Di,20002,40158,392986397,18,20002.00,0.0009,0.0021,2.7839,81.755
BasicLine,Density,EK,5002,10067,12313496,2521,25177567.00,0.0001,0.5039,1.0101,837.952
BasicLine,Density,FF,5002,10067,12313496,3631,12313496.00,0.0003,0.2621,0.5254,1516.740
BasicLine,Density,RDFS,5002,10067,12313496,3731,12313496.00,0.0003,0.0036,0.0059,655.814
BasicLine,Density,FP,5002,10067,12313496,2495,237115.47,0.0105,0.5007,1.0054,4462.433
BasicLine,Density,EC,5002,10067,12313496,2504,237115.47,0.0106,0.5004,1.0032,839.331
