k,n,m,alpha,sift_up,sift_down,r_up,r_down,insert,deletemin,update,i,d,u,noshita_expected,Algo_Time_ms
2,100000,200000,1.060,48374,1303569,0.027,0.735,100000,100000,6826,1.000,1.000,0.034,69314.718,34.2147
3,100000,200000,1.060,23884,858731,0.021,0.766,100000,100000,6966,1.000,1.000,0.035,69314.718,34.4332
4,100000,200000,1.060,16637,691263,0.019,0.778,100000,100000,6996,1.000,1.000,0.035,69314.718,31.3705
5,100000,200000,1.060,13351,602716,0.017,0.788,100000,100000,6965,1.000,1.000,0.035,69314.718,30.2439
8,100000,200000,1.060,8242,485542,0.014,0.820,100000,100000,7011,1.000,1.000,0.035,69314.718,29.1769
16,100000,200000,1.060,4351,382221,0.010,0.860,100000,100000,7078,1.000,1.000,0.035,69314.718,31.9667
2,100000,1000000,1.200,208352,2843387,0.064,0.871,100000,100000,96500,1.000,1.000,0.097,230258.509,157.915
3,100000,1000000,1.200,113746,1856917,0.055,0.901,100000,100000,96588,1.000,1.000,0.097,230258.509,154.607
4,100000,1000000,1.200,79677,1494044,0.049,0.915,100000,100000,96562,1.000,1.000,0.097,230258.509,166.947
5,100000,1000000,1.200,62353,1294068,0.044,0.922,100000,100000,96133,1.000,1.000,0.096,230258.509,166.769
8,100000,1000000,1.200,39206,1034182,0.036,0.951,100000,100000,96329,1.000,1.000,0.096,230258.509,168.933
16,100000,1000000,1.200,21252,792377,0.026,0.973,100000,100000,96078,1.000,1.000,0.096,230258.509,168.74
2,100000,1000000,1.200,209202,2840252,0.064,0.871,100000,100000,96293,1.000,1.000,0.096,230258.509,173.04
3,100000,1000000,1.200,110874,1841092,0.054,0.901,100000,100000,95040,1.000,1.000,0.095,230258.509,167.692
4,100000,1000000,1.200,79490,1488741,0.049,0.915,100000,100000,95904,1.000,1.000,0.096,230258.509,167.296
5,100000,1000000,1.200,61897,1291447,0.044,0.922,100000,100000,95764,1.000,1.000,0.096,230258.509,168.826
8,100000,1000000,1.200,38909,1031279,0.036,0.951,100000,100000,95806,1.000,1.000,0.096,230258.509,154.607
16,100000,1000000,1.200,21152,790536,0.026,0.973,100000,100000,95662,1.000,1.000,0.096,230258.509,169.731
2,100000,1000000,1.200,209187,2828795,0.064,0.871,100000,100000,95549,1.000,1.000,0.096,230258.509,158.003
3,100000,1000000,1.200,113297,1852368,0.055,0.901,100000,100000,96139,1.000,1.000,0.096,230258.509,168.67
4,100000,1000000,1.200,79648,1487166,0.049,0.915,100000,100000,95755,1.000,1.000,0.096,230258.509,166.856
5,100000,1000000,1.200,61919,1290499,0.044,0.922,100000,100000,95671,1.000,1.000,0.096,230258.509,166.591
8,100000,1000000,1.200,38943,1034067,0.036,0.951,100000,100000,96299,1.000,1.000,0.096,230258.509,166.638
16,100000,1000000,1.200,21480,791946,0.026,0.973,100000,100000,95974,1.000,1.000,0.096,230258.509,168.2
2,100000,1000000,1.200,209528,2831272,0.064,0.871,100000,100000,95727,1.000,1.000,0.096,230258.509,157.381
3,100000,1000000,1.200,112326,1850225,0.055,0.901,100000,100000,95896,1.000,1.000,0.096,230258.509,169.442
4,100000,1000000,1.200,79535,1489639,0.049,0.915,100000,100000,95980,1.000,1.000,0.096,230258.509,165.862
5,100000,1000000,1.200,61877,1290377,0.044,0.922,100000,100000,95726,1.000,1.000,0.096,230258.509,167.348
8,100000,1000000,1.200,38814,1029128,0.036,0.951,100000,100000,95434,1.000,1.000,0.095,230258.509,166.885
16,100000,1000000,1.200,21559,791979,0.026,0.973,100000,100000,95952,1.000,1.000,0.096,230258.509,161.137
2,100000,1000000,1.200,208612,2833501,0.064,0.871,100000,100000,95895,1.000,1.000,0.096,230258.509,156.845
3,100000,1000000,1.200,113007,1854136,0.055,0.901,100000,100000,96306,1.000,1.000,0.096,230258.509,170.261
4,100000,1000000,1.200,79438,1490014,0.049,0.915,100000,100000,96041,1.000,1.000,0.096,230258.509,167.2
5,100000,1000000,1.200,62149,1294462,0.044,0.922,100000,100000,96262,1.000,1.000,0.096,230258.509,167.21
8,100000,1000000,1.200,39246,1034672,0.036,0.952,100000,100000,96377,1.000,1.000,0.096,230258.509,154.219
16,100000,1000000,1.200,21419,794408,0.026,0.974,100000,100000,96451,1.000,1.000,0.096,230258.509,168.471
2,100000,1000000,1.200,209545,2837216,0.064,0.871,100000,100000,96067,1.000,1.000,0.096,230258.509,170.631
3,100000,1000000,1.200,112712,1852560,0.055,0.901,100000,100000,96144,1.000,1.000,0.096,230258.509,153.105
4,100000,1000000,1.200,79813,1491225,0.049,0.915,100000,100000,96186,1.000,1.000,0.096,230258.509,167.08
5,100000,1000000,1.200,61993,1293576,0.044,0.922,100000,100000,96137,1.000,1.000,0.096,230258.509,167.12
8,100000,1000000,1.200,39216,1033059,0.036,0.951,100000,100000,96195,1.000,1.000,0.096,230258.509,167.446
16,100000,1000000,1.200,21138,793610,0.026,0.973,100000,100000,96347,1.000,1.000,0.096,230258.509,168.912
2,100000,1000000,1.200,209598,2839839,0.064,0.871,100000,100000,96252,1.000,1.000,0.096,230258.509,157.32
3,100000,1000000,1.200,113086,1856844,0.055,0.901,100000,100000,96553,1.000,1.000,0.097,230258.509,167.357
