n,alpha,HK_mean_ms,Simple_mean_ms,HK_std_ms,Simple_std_ms,HK_min_ms,Simple_min_ms,HK_max_ms,Simple_max_ms,speedup_ratio
100,1.0,0.1280075,0.03353196666666667,0.09134348285181598,0.02291957066228943,0.043813,0.011203,0.401523,0.079661,0.26195314076649157
100,1.5,0.06106663333333333,0.19583536666666665,0.011670116210996397,0.018370087917652954,0.050844,0.169669,0.089829,0.250715,3.206912776699114
100,2.0,0.029862866666666665,0.2753657666666667,0.00749143659503778,0.04514449022606485,0.026379,0.249301,0.051904,0.373992,9.221009146252984
500,1.0,1.0541591000000001,0.2529109666666666,0.2031077823640732,0.03886344208448376,0.860704,0.227469,1.54023,0.40259,0.23991726359585247
500,1.5,0.8243154,19.154566666666664,0.1079153922550376,1.972309270064309,0.691499,18.2288,1.24688,26.3736,23.236939000128668
500,2.0,0.5121011,27.888126666666665,0.0017327819639189517,0.05679388586163462,0.510021,27.8328,0.517076,28.075,54.45824401991456
1000,1.0,4.572529,0.9837733666666666,0.6814045029523895,0.1270957145663723,3.35612,0.918354,6.80666,1.46969,0.2151486336481773
1000,1.5,2.7869496666666667,148.43456666666668,0.09531123845458685,3.4775780978199133,2.60747,145.442,2.96748,160.772,53.26058394309
1000,2.0,2.046905,225.45366666666666,0.05443191601472874,5.966943781531212,2.00675,218.344,2.18892,242.375,110.14368847927317
2000,1.0,19.692676666666667,3.871025,2.2954814868199955,0.2212391136577549,13.8541,3.62729,23.4481,4.53093,0.1965718051194327
2000,1.5,10.092323,1198.2839999999999,0.4203729038903106,20.64873989642819,9.49794,1175.29,11.5769,1255.42,118.73222844730591
2000,2.0,7.979114999999999,1728.7463333333333,0.013369941776367278,1.3639862557030906,7.96012,1728.11,8.01904,1735.85,216.65890682529746
5000,1.0,127.4184,23.282886666666666,17.272758285809477,0.24821002054480099,110.371,22.6945,168.44,23.7127,0.18272782162283208
5000,1.5,57.21817,18773.52,0.9824433766784263,22.108250917263494,55.5781,18727.7,59.3436,18820.1,328.10416691061596
5000,2.0,49.679896666666664,26839.89,0.041219224534969984,1.4310232654309474,49.6184,26837.2,49.8039,26843.5,540.2565585046507
10000,1.0,572.6875,93.27200333333333,36.957294324339614,1.016494620805461,550.803,91.2603,668.359,95.6714,0.16286718905744116
10000,1.5,219.04923333333332,152867.4,2.8387292043099643,98.27954500055978,213.085,152694.0,224.272,153144.0,697.8677700614337
10000,2.0,198.46880000000002,215101.53333333333,0.08680076274892026,60.14507365576455,198.3,214997.0,198.775,215195.0,1083.8052798895005
