alpha,Algorithm,k_theory,k_emp,R2
1.0,HopcroftKarpMatcher,0.5,0.16,0.9789
1.0,SimpleAugmentingMatcher,1.0,1.0,0.9999
1.5,HopcroftKarpMatcher,0.5,-0.03,0.6939
1.5,SimpleAugmentingMatcher,1.0,1.0,1.0
2.0,HopcroftKarpMatcher,0.5,0.0,1.0
2.0,SimpleAugmentingMatcher,1.0,1.0,1.0
