n,alpha,BF_mean_ms,JD_mean_ms,BF_std_ms,JD_std_ms,speedup_ratio
50,1.0,0.3211932,0.1858734333333333,0.0576957875557892,0.029222492065699754,1.7280210207555216
50,1.5,1.1382916666666667,1.081933,0.09485950569797613,0.0767986934223448,1.0520907178787102
50,2.0,0.7288061,3.8774763333333335,0.019132631877916365,0.0219679463173576,0.18795887772020786
100,1.0,2.308955333333333,0.9045375666666667,0.3548869064513013,0.03995392196508314,2.552636196020161
100,1.5,9.389738333333334,6.066549666666666,0.377107057570579,0.0570076031519169,1.5477889161488776
100,2.0,5.3619613333333325,32.78438,0.026044092020943974,0.10105652702904631,0.16355231769926204
200,1.0,19.131866666666667,5.262299,2.568910977683806,0.1582681404180238,3.6356479680585747
200,1.5,72.00109666666667,35.85032666666667,2.0576192799016537,0.1975327488052918,2.0083804908146816
200,2.0,41.965826666666665,284.54563333333334,1.7735840292806944,0.9770050112225683,0.14748364322114002
500,1.0,310.7653333333334,67.06833,38.400226844995686,3.0210744422507534,4.633563014515694
500,1.5,953.7276999999999,399.0371666666667,17.956639028024117,0.8560051596417648,2.390072353327154
500,2.0,644.6528333333333,5097.579333333333,11.263542950548494,9.214120323358829,0.12646254058625736
1000,1.0,2601.6936666666666,486.3111666666666,207.00146342116938,6.041485938953645,5.349853848718944
1000,1.5,6807.069,2572.575,108.8786009927475,3.580948391042646,2.6460138188391014
1000,2.0,5092.093666666667,45774.35333333334,22.723287535847046,27.246445302262885,0.11124337747789773
2000,1.0,22281.933333333334,3717.2473333333332,1351.7831192943622,30.163076529875504,5.994202520108518
2000,1.5,51390.16,17933.489999999998,642.8335900928969,17.45734407259516,2.865597270804512
2000,2.0,40840.99,422073.86666666664,81.73342012614735,170.8788103191601,0.09676265986933093
