Vertices,Source,Dest,IO_Time,Algo_Time,I,D,U,Sift_Up,Sift_Down
100000,65220,-1,477.75,168.912,100000,100000,96347,21138,793610
100000,37021,-1,488.936,157.32,100000,100000,96252,209598,2839839
100000,32835,-1,492.232,167.357,100000,100000,96553,113086,1856844
100000,76334,-1,481.789,166.279,100000,100000,95649,79727,1486655
100000,63265,-1,477.161,167.15,100000,100000,96114,62301,1293528
100000,88552,-1,481.601,167.064,100000,100000,95976,39256,1032794
100000,87379,-1,479.368,168.392,100000,100000,96521,21347,794343
100000,61991,-1,509.775,161.795,100000,100000,95974,207956,2835204
100000,42125,-1,498.325,168.701,100000,100000,95773,112472,1848321
100000,11601,-1,463.592,169.313,100000,100000,95750,78911,1487850
100000,24743,-1,465.992,168.407,100000,100000,95907,62011,1292294
100000,38432,-1,465.31,168.135,100000,100000,96259,39411,1033863
100000,13059,-1,464.71,169.818,100000,100000,96221,21127,793192
100000,8173,-1,488.004,156.892,100000,100000,95922,209432,2834176
100000,87889,-1,492.34,168.355,100000,100000,95787,112837,1848347
100000,16516,-1,475.282,149.929,100000,100000,95999,79249,1489783
100000,52848,-1,503.842,166.984,100000,100000,95534,62217,1289403
100000,6868,-1,479.062,167.374,100000,100000,95918,38921,1031697
100000,74858,-1,479.056,168.88,100000,100000,95930,21080,791351
100000,71939,-1,484.802,163.059,100000,100000,95778,208693,2832251
100000,5897,-1,496.682,163.896,100000,100000,95891,112933,1849433
100000,25711,-1,478.119,167.05,100000,100000,95878,79582,1488356
100000,50180,-1,482.48,167.843,100000,100000,95950,62336,1292551
100000,32935,-1,476.236,166.514,100000,100000,95877,39211,1031162
100000,42008,-1,478.645,168.685,100000,100000,96311,21491,793196
100000,88633,-1,1416.58,477.763,100000,100000,188500,381053,4380424
100000,48132,-1,1418.86,477.207,100000,100000,189094,203608,2834941
100000,29091,-1,1471.63,427.446,100000,100000,187936,144429,2278260
100000,87147,-1,1411.33,419.38,100000,100000,188363,114028,1994869
100000,40190,-1,1426.46,425.037,100000,100000,188062,71652,1553131
100000,88602,-1,1413.03,486.1,100000,100000,188782,39224,1229163
100000,81842,-1,1431.33,484.88,100000,100000,187678,377965,4367262
100000,88797,-1,1411.42,423.988,100000,100000,188067,202981,2823002
100000,45096,-1,1426.36,477.184,100000,100000,188141,144756,2280229
100000,59875,-1,1420.23,429.717,100000,100000,188567,113640,1995614
100000,52516,-1,1402.55,422.403,100000,100000,187804,71386,1551759
100000,2818,-1,1401.57,451.38,100000,100000,188833,39056,1230338
100000,32027,-1,1426.74,431.61,100000,100000,187641,378034,4366142
100000,42738,-1,1405.96,420.963,100000,100000,188357,202980,2826425
100000,6,-1,1428.94,420.088,100000,100000,188531,144098,2282944
100000,77379,-1,1416.79,482.617,100000,100000,188604,114850,1996320
100000,69446,-1,1413.42,419.451,100000,100000,188445,71582,1555152
100000,62148,-1,1428.34,434.232,100000,100000,188097,38975,1226449
100000,78490,-1,1426.69,430.075,100000,100000,188762,381190,4385736
100000,83873,-1,1401.58,421.929,100000,100000,188350,203462,2826356
100000,46548,-1,1423.46,474.591,100000,100000,188230,144413,2281046
100000,38329,-1,1432.73,478.436,100000,100000,188916,114560,1998028
100000,67664,-1,1417.17,424.507,100000,100000,188144,71622,1554128
100000,16373,-1,1429.94,477.978,100000,100000,188655,38932,1228768
100000,29880,-1,1426.27,429.62,100000,100000,187998,379271,4372403
100000,58020,-1,1416.68,471.564,100000,100000,188041,203344,2823348
100000,37579,-1,1424.68,418.739,100000,100000,188665,145496,2284571
100000,53458,-1,1429.6,477.291,100000,100000,187838,112955,1989964
100000,10688,-1,1411.82,417.716,100000,100000,188026,71479,1552124
100000,96262,-1,1409.76,422.534,100000,100000,187826,38797,1224879
100000,41697,-1,1416.57,484.249,100000,100000,188607,380404,4383358
100000,69118,-1,1427.63,461.947,100000,100000,188366,203655,2826520
100000,2155,-1,1413.61,422.064,100000,100000,188006,143954,2279654
100000,56966,-1,1427.33,418.233,100000,100000,188130,113277,1993027
100000,17701,-1,1398.55,421.431,100000,100000,188869,72005,1558025
100000,70771,-1,1419.47,458.271,100000,100000,187909,38794,1225257
100000,3065,-1,1417.26,426.952,100000,100000,188530,381349,4382716
100000,46739,-1,1425.37,426.06,100000,100000,188078,203524,2823297
100000,69550,-1,1414.45,435.765,100000,100000,188458,144280,2282821
